vep_consequence	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	phyloP_mean
non coding transcript exon variant	RARE	999376	998782	571235.069	1103504.998157	996469	-106575.13094312575	3124713.1527866484	51691	-0.10695278121359095
non coding transcript exon variant	SINGLETON	8055327	8054105	1292347.33	1057118.030732	8041689	1138497.7267051018	21355528.584754027	471896	0.1415744536632916
non coding transcript exon variant	ULTRARARE	5753361	5752041	2365034.989	3995217.737783	5740950	-56246.4572745329	16916694.81450195	314522	-0.009797412845353626
regulatory region variant	COMMON	357456	357178	139971.496	240225.503094	356151	-113771.4509625706	696057.6244417585	7789	-0.319447231546649
regulatory region variant	LOW_FREQ	390382	389956	185063.532	353043.732548	388386	-68980.81894642035	738352.7889591999	11026	-0.17760892242877022
regulatory region variant	RARE	969180	968112	518203.337	1023312.865297	963614	-168873.05696277265	1924213.078448567	29174	-0.17524969226554685
regulatory region variant	SINGLETON	8074471	8070925	1193801.038	869674.491808	8048348	379775.216346547	13708043.321428072	304371	0.0471867290463269
regulatory region variant	ULTRARARE	5592803	5589327	2096343.365	3542706.491427	5568507	-481232.8077342456	10511255.85956891	186825	-0.08642043688447291
splice acceptor variant	COMMON	962	962	139.245	107.436721	959	441.6469994396902	4905.823845235209	120	0.46052867511959356
splice acceptor variant	LOW_FREQ	1276	1276	160.959	121.801173	1274	1460.5519986501902	12248.21284481706	271	1.1464301402277788
splice acceptor variant	RARE	3318	3317	399.342	270.281552	3309	5621.051993849105	44248.61272188615	926	1.698716226608977
splice acceptor variant	SINGLETON	47288	47274	4244.515	704.884949	47235	150988.7066436479	1124543.943724125	22182	3.1965429584767207
splice acceptor variant	ULTRARARE	24409	24404	2515.656	951.792986	24366	60981.422887289555	455031.16060107946	9322	2.502726048070654
splice donor variant	COMMON	1493	1492	445.53	667.358594	1488	465.4629997850864	9842.043037266962	184	0.3128111557695473
splice donor variant	LOW_FREQ	1737	1736	550.098	885.141452	1736	1941.095999358222	18576.490601978017	372	1.1181428567731693
splice donor variant	RARE	4764	4763	1675.97	2896.767822	4754	8204.301973263266	72636.45714993277	1383	1.7257681895799886
splice donor variant	SINGLETON	61096	61085	9503.582	6836.08161	61015	196783.7514480597	1571479.58458661	28148	3.225170063886908
splice donor variant	ULTRARARE	34814	34806	10088.93	14970.946046	34758	90027.02175468861	744954.6679307326	13549	2.590109377832114
splice region variant	COMMON	16648	16640	6339.466	10433.911644	16618	-1293.3579940415218	77405.58024559915	1433	-0.07782873956201239
splice region variant	LOW_FREQ	20240	20230	9265.996	16726.998892	20209	3185.2280004876666	108410.34307281548	2258	0.15761433027303015
splice region variant	RARE	53075	53051	27629.256	51842.217944000004	52984	11662.7669806605	301990.2563548017	6620	0.2201186580979258
splice region variant	SINGLETON	477900	477837	75583.362	59509.481556	477311	390140.4656072732	3071445.8454792476	85524	0.8173716206148051
splice region variant	ULTRARARE	327332	327270	124975.078	204851.710486	326885	159747.80580480592	2057432.7876271107	49577	0.48869726602568464
start lost	COMMON	246	246	48.866	25.682742	246	106.19400149560548	2346.427777372934	46	0.43168293290896537
start lost	LOW_FREQ	354	354	67.623	24.305289	354	573.7840025390033	4544.636017849461	119	1.6208587642344725
start lost	RARE	1075	1075	232.178	99.515424	1073	2266.2439977584863	16491.63270563455	463	2.1120633716295307
start lost	SINGLETON	14481	14480	2266.797	636.448185	14465	49476.4119713189	336361.05335263285	8686	3.4204225351758657
start lost	ULTRARARE	8827	8827	1734.091	672.940109	8816	25903.855989199717	179323.35130870427	4848	2.938277675725921
stop gained	COMMON	771	771	426.149	758.851999	770	375.6429983775597	8063.343020764159	149	0.4878480498409866
stop gained	LOW_FREQ	1512	1511	1025.956	1947.35869	1509	2334.215995641776	20682.610678859124	473	1.5468628201734764
stop gained	RARE	5540	5509	4342.724	8555.730808	5523	11089.62297822162	89428.51601361038	2163	2.0078984208259314
stop gained	SINGLETON	86788	86731	30201.601	48562.339915	86660	335993.35488034517	2503881.998146456	52659	3.877144644361241
stop gained	ULTRARARE	50653	50569	38340.825	73513.314115	50567	150727.0696899651	1105264.4904799687	26406	2.980739804417211
stop lost	COMMON	192	192	17.002	4.451676	192	-11.887998844496988	1100.536011018848	24	-0.06191666064842181
stop lost	LOW_FREQ	197	197	19.437	8.220477	197	168.76199989439917	1425.6463797375488	48	0.8566598979411125
stop lost	RARE	583	582	47.537	11.620155	582	725.029001296498	5619.317898262327	171	1.2457542977603058
stop lost	SINGLETON	7619	7617	549.757	82.011681	7615	14253.269009623566	95299.62375343325	2851	1.8717359172191157
stop lost	ULTRARARE	3964	3959	333.188	69.769746	3961	5865.288001021253	43081.8873000221	1277	1.480759404448688
stop retained variant	COMMON	69	69	7.605	1.010369	69	80.83799983363134	574.4135678186416	18	1.1715652149801643
stop retained variant	LOW_FREQ	75	75	7.609	0.883995	75	92.62300012470226	490.6857981363548	17	1.2349733349960301
stop retained variant	RARE	214	214	22.357	2.718445	214	278.6509978192625	1566.0076258128188	55	1.302107466445152
stop retained variant	SINGLETON	2279	2278	240.748	29.62539	2278	4221.54299101245	23844.165044791967	770	1.8531795395138062
stop retained variant	ULTRARARE	1407	1407	152.248	19.449676	1406	2541.4499992991337	14190.559215360932	465	1.8075746794446186
synonymous variant	COMMON	42090	42038	26182.341	47804.815117	42049	-55315.35800340366	752148.5522800063	5366	-1.3154975862304372
synonymous variant	LOW_FREQ	54166	54143	42599.65	84122.698764	54109	-61812.02599749922	958731.7017382344	7915	-1.1423612707220467
synonymous variant	RARE	146657	146513	126967.78	253546.26557	146510	-184745.42705853248	2775424.2504249844	21345	-1.2609748621836905
synonymous variant	SINGLETON	1017864	1017626	259170.084	312257.82641599997	1017150	288127.63343880273	11435179.475607842	227816	0.28326956047662855
synonymous variant	ULTRARARE	842589	841942	575065.666	1073314.206968	841967	-641226.7832471913	13708492.713340623	143336	-0.7615818473255975
upstream gene variant	COMMON	560534	559934	218912.704	366241.76624	558391	-232740.2178597183	1061867.6754706928	7150	-0.41680510226654494
upstream gene variant	LOW_FREQ	612254	611502	292502.55	544917.567978	609470	-155865.7078448332	1079084.7563826696	10915	-0.25573975395808357
upstream gene variant	RARE	1535792	1531805	817899.037	1568884.035877	1528926	-385104.3296186589	2807081.4690007716	29590	-0.25187898539148323
upstream gene variant	SINGLETON	12174444	12166921	1857210.144	1382998.892618	12138573	-177707.60268168792	17325160.717900768	303751	-0.014639908882344566
upstream gene variant	ULTRARARE	8662679	8649632	3256178.936	5350508.632971999	8631995	-1282945.981171769	14359355.069346448	192006	-0.14862682162950386
